#tag	cores	nPar	nSteps	t1	t	colliderRel
r3552	2	8000	1000	0.676475	0.01069363	0.423121
r3552	2	15625	1000	2.160292	0.02652147	0.487654
r3552	2	15625	1000	2.167762	0.02655225	0.487690
r3552	2	15625	1000	2.193652	0.02671912	0.489295
r3552	2	27000	1000	5.264245	0.05721550	0.543939
r3552	2	27000	1000	5.464301	0.05702039	0.543889
r3552	2	64000	1000	19.440801	0.19946221	0.622917
r3552	2	125000	1000	65.522670	0.50183434	0.689377
r3552	2	216000	1000	161.806089	1.06647345	0.739014
r3552	4	1000	1000	0.029562	0.00046352	0.345279
r3552	4	1000	1000	0.027728	0.00045271	0.349226
r3552	4	1000	1000	0.026376	0.00045734	0.346833
r3552	4	1000	1000	0.027926	0.00045888	0.348406
r3552	4	1000	1000	0.028426	0.00044956	0.347524
r3552	4	8000	1000	0.667140	0.00666424	0.472924
r3552	4	8000	1000	0.668040	0.00659460	0.471329
r3552	4	8000	1000	0.668760	0.00656707	0.469428
r3552	4	8000	1000	0.675256	0.00652326	0.470649
r3552	4	8000	1000	0.667155	0.00659910	0.472441
r3552	4	15625	1000	2.154055	0.01626639	0.520827
r3552	4	15625	1000	2.145727	0.01628160	0.522562
r3552	4	15625	1000	2.146704	0.01626091	0.520476
r3552	4	27000	1000	5.249305	0.03446883	0.575029
r3552	4	27000	1000	5.317325	0.03414937	0.570025
r3552	4	64000	1000	19.514084	0.11567246	0.654257
r3552	4	125000	1000	65.301667	0.29645549	0.713504
r3552	4	216000	1000	161.281015	0.62831978	0.753182
r3552	6	1000	1000	0.026743	0.00039200	0.394364
r3552	6	1000	1000	0.033300	0.00042058	0.388694
r3552	6	1000	1000	0.031968	0.00038312	0.395062
r3552	6	1000	1000	0.029494	0.00040667	0.395551
r3552	6	1000	1000	0.034320	0.00042186	0.393731
r3552	6	8000	1000	0.666032	0.00557574	0.495155
r3552	6	8000	1000	0.667264	0.00629219	0.498371
r3552	6	8000	1000	0.709662	0.00597779	0.497299
r3552	6	8000	1000	0.713822	0.00523894	0.498371
r3552	6	8000	1000	0.669404	0.00535392	0.498692
r3552	6	15625	1000	2.156580	0.01295114	0.550535
r3552	6	15625	1000	2.144340	0.01294957	0.547432
r3552	6	15625	1000	2.181111	0.01303442	0.550032
r3552	6	27000	1000	5.258254	0.02639538	0.589870
r3552	6	27000	1000	5.259602	0.02675896	0.590715
r3552	6	64000	1000	19.277823	0.09328126	0.665803
r3552	6	125000	1000	65.230947	0.22530883	0.722874
r3552	6	216000	1000	161.484977	0.47048556	0.757532
