#tag	cores	nPar	nSteps	t1	t	colliderRel
iniParallel	6	15625	1000	0.351736	0.01391424	0.610394
iniParallel	6	15625	1000	0.347446	0.01372660	0.616421
iniParallel	6	27000	1000	0.758839	0.02986137	0.655369
iniParallel	6	27000	1000	0.757258	0.03039083	0.666950
iniParallel	6	64000	1000	2.664831	0.10018245	0.723978
iniParallel	6	125000	1000	7.662866	0.22861559	0.738205
noInvFast	6	1000	1000	0.012660	0.00033447	0.368265
noInvFast	6	1000	1000	0.013205	0.00034668	0.379649
noInvFast	6	1000	1000	0.015164	0.00033387	0.371385
noInvFast	6	1000	1000	0.014019	0.00034328	0.364944
noInvFast	6	1000	1000	0.014071	0.00034735	0.368006
noInvFast	6	8000	1000	0.145236	0.00552258	0.568055
noInvFast	6	8000	1000	0.143856	0.00557229	0.565128
noInvFast	6	8000	1000	0.142634	0.00553454	0.563747
noInvFast	6	8000	1000	0.152428	0.00553865	0.566234
noInvFast	6	8000	1000	0.158754	0.00555219	0.560451
noInvFast	6	15625	1000	0.370655	0.01363388	0.613638
noInvFast	6	15625	1000	0.354834	0.01389868	0.607068
noInvFast	6	15625	1000	0.365061	0.01369755	0.613975
noInvFast	6	27000	1000	0.757037	0.03000301	0.667106
noInvFast	6	27000	1000	0.759941	0.02936911	0.660115
noInvFast	6	64000	1000	2.680949	0.09632794	0.719494
noInvFast	6	125000	1000	7.622591	0.22090049	0.736594
par1	6	1000	1000	0.013251	0.00034442	0.358286
par1	6	1000	1000	0.014023	0.00034688	0.358269
par1	6	1000	1000	0.015078	0.00034116	0.364847
par1	6	1000	1000	0.012992	0.00034033	0.358738
par1	6	1000	1000	0.011604	0.00033816	0.364819
par1	6	8000	1000	0.140784	0.00447379	0.444550
par1	6	8000	1000	0.145076	0.00445302	0.447729
par1	6	8000	1000	0.143004	0.00447918	0.445648
par1	6	8000	1000	0.143173	0.00447208	0.446742
par1	6	8000	1000	0.150623	0.00445978	0.445947
par1	6	15625	1000	0.359763	0.01094416	0.484055
par1	6	15625	1000	0.348999	0.01090821	0.482775
par1	6	15625	1000	0.353934	0.01090860	0.481780
par1	6	27000	1000	0.766153	0.02213462	0.529587
par1	6	27000	1000	0.755362	0.02171934	0.520695
par1	6	64000	1000	2.664579	0.06349628	0.560965
par1	6	125000	1000	7.672855	0.13581609	0.560434
par2_threadSafe	6	1000	1000	0.014639	0.00033871	0.360713
par2_threadSafe	6	1000	1000	0.016006	0.00034376	0.364306
par2_threadSafe	6	1000	1000	0.014726	0.00043807	0.360370
par2_threadSafe	6	1000	1000	0.045837	0.00042598	0.337734
par2_threadSafe	6	1000	1000	0.014194	0.00034678	0.357080
par2_threadSafe	6	8000	1000	0.142611	0.00476347	0.442625
par2_threadSafe	6	8000	1000	0.161096	0.00496354	0.434867
par2_threadSafe	6	8000	1000	0.147069	0.00480160	0.440812
par2_threadSafe	6	8000	1000	0.148883	0.00485299	0.435353
par2_threadSafe	6	8000	1000	0.140733	0.00490999	0.432920
par2_threadSafe	6	15625	1000	0.356315	0.01167583	0.466854
par2_threadSafe	6	15625	1000	0.366790	0.01135141	0.481354
par2_threadSafe	6	15625	1000	0.352292	0.01150777	0.465022
par2_threadSafe	6	64000	1000	2.776088	0.06376504	0.555228
par2_threadSafe	6	125000	1000	7.698992	0.13681861	0.561231
par3_oneMutex	6	1000	1000	0.013123	0.00041854	0.340148
